feature,shap_importance
WORK_SENIORITY,0.017919158436684388
INCOME,0.01708479593836847
PRODUCT_f,0.01278362627545073
MARITAL_STATUS_single,0.011181542091872393
MARITAL_STATUS_married,0.009363375158723165
AGE,0.008721654581579872
RESIDENTIAL_PLACE_owner without mortgage,0.008455983118984338
HOUSEHOLD_MEMBERS,0.004207557299879102
PRODUCT_c,0.003826909627626277
LENGTH_RELATIONSHIP_WITH_CLIENT,0.0032996014208245454
CURRENT_ACCOUNT,0.0029922034151381644
PRODUCT_b,0.002940378567889817
EDUCATION_university,0.002143402004160862
EMPLOYEE_NO_between 21-50,0.002083932812953558
DEBIT_CARD,0.001896316103641294
AREA_rural area,0.0018328744074298444
ECONOMIC_SECTOR_manufacturing,0.0018242432212276004
BUSINESS AGE,0.0016430196984011257
ECONOMIC_SECTOR_missing,0.0015949117637441331
EDUCATION_post secondary school,0.0013145234957152383
NO_OF_DEPENDENTS,0.0007612996578772172
FINALIZED_LOAN,0.0007282163530984424
SALARY_ACCOUNT,0.0006100655028755682
EMPLOYEE_NO_between 251-500,0.0005937127164961524
EMPLOYEE_NO_between 101-250,0.00054090416219185
EDUCATION_other,0.0005273545408955366
EDUCATION_highschool,0.00045082240505000415
ECONOMIC_SECTOR_wholesale and retail trade,0.0004251807543646849
EDUCATION_missing,0.00034497365002625943
AREA_urban area,0.0003053687653365841
PRODUCT_e,0.00014739758467655756
EDUCATION_vocational school,9.71727712995749e-05
ECONOMIC_SECTOR_transportation and storage,8.644463093496908e-05
ECONOMIC_SECTOR_human health and social work activities,8.140921157810338e-05
RESIDENTIAL_PLACE_owner with mortgage,7.58984901889682e-05
MARITAL_STATUS_widow,7.446090848297983e-05
EDUCATION_post-graduate,7.146081015351286e-05
EMPLOYEE_NO_between 501-1.000,6.92188361743156e-05
ECONOMIC_SECTOR_public administration and defence,4.267694566834353e-05
EMPLOYEE_NO_between 51-100,3.4267518761016446e-05
ECONOMIC_SECTOR_other,2.0576641623001062e-05
ECONOMIC_SECTOR_water supply,1.6252869050295536e-05
EMPLOYEE_NO_between 0-10,1.3103019671279042e-05
"ECONOMIC_SECTOR_agriculture, hunting and forestry",1.2061446832505924e-05
EMPLOYEE_NO_between 11-20,5.34552387097217e-06
"ECONOMIC_SECTOR_professional, scientific and technical activities",1.8338278602954374e-06
EDUCATION_middle school,0.0
RESIDENTIAL_PLACE_rental,0.0
RESIDENTIAL_PLACE_other,0.0
AREA_missing,0.0
PRODUCT_d,0.0
SAVING_ACCOUNT,0.0
FOREIGN_ACCOUNT,0.0
DEPOSIT,0.0
ECONOMIC_SECTOR_information and communication,0.0
ECONOMIC_SECTOR_financial and insurance activities,0.0
ECONOMIC_SECTOR_education,0.0
ECONOMIC_SECTOR_electricity and gas,0.0
ECONOMIC_SECTOR_construction,0.0
EDUCATION_primary school,0.0
ECONOMIC_SECTOR_real estate activities,0.0
ECONOMIC_SECTOR_mining and quarrying,0.0
