feature,shap_importance
WORK_SENIORITY,0.016965941618654452
INCOME,0.01484616816578807
PRODUCT_f,0.01427218968906199
MARITAL_STATUS_single,0.012895660470402144
RESIDENTIAL_PLACE_owner without mortgage,0.008649637385821541
AGE,0.008086282301651598
MARITAL_STATUS_married,0.007766473347750165
HOUSEHOLD_MEMBERS,0.003523422339516539
LENGTH_RELATIONSHIP_WITH_CLIENT,0.003363280795083696
CURRENT_ACCOUNT,0.003106017657561686
PRODUCT_c,0.0030866002481861766
PRODUCT_b,0.0027801693680765648
EDUCATION_university,0.0021286470679958065
DEBIT_CARD,0.001853169529085186
ECONOMIC_SECTOR_missing,0.0017523675270320093
EMPLOYEE_NO_between 21-50,0.0017375527895692447
BUSINESS AGE,0.001725409272290022
AREA_rural area,0.0017130096431685698
ECONOMIC_SECTOR_manufacturing,0.0016420409978644963
EDUCATION_post secondary school,0.0014461517250804723
NO_OF_DEPENDENTS,0.0008938421651986427
EMPLOYEE_NO_between 101-250,0.0006700475285550977
EMPLOYEE_NO_between 251-500,0.0006477933863879328
ECONOMIC_SECTOR_wholesale and retail trade,0.0006246629487563043
EDUCATION_highschool,0.00060651726011739
EDUCATION_other,0.0005759042826039575
FINALIZED_LOAN,0.0005439528984038307
SALARY_ACCOUNT,0.00046897484382107474
EDUCATION_missing,0.00030930372017726513
AREA_urban area,0.00027117970586341
RESIDENTIAL_PLACE_owner with mortgage,0.00018694792824393503
ECONOMIC_SECTOR_human health and social work activities,0.00014652867998102767
PRODUCT_e,0.00012941062868767914
EDUCATION_vocational school,0.00012267142985478252
EDUCATION_post-graduate,0.00011356204535318999
MARITAL_STATUS_widow,0.00011072465116148306
ECONOMIC_SECTOR_water supply,5.858112392138934e-05
ECONOMIC_SECTOR_transportation and storage,5.451888509944849e-05
EMPLOYEE_NO_between 501-1.000,4.228766408901887e-05
EMPLOYEE_NO_between 51-100,3.2663030084431164e-05
ECONOMIC_SECTOR_other,3.035958830273569e-05
EMPLOYEE_NO_between 0-10,1.7180916805334678e-05
ECONOMIC_SECTOR_public administration and defence,1.4355383308952825e-05
ECONOMIC_SECTOR_electricity and gas,0.0
ECONOMIC_SECTOR_education,0.0
"ECONOMIC_SECTOR_agriculture, hunting and forestry",0.0
SAVING_ACCOUNT,0.0
FOREIGN_ACCOUNT,0.0
EMPLOYEE_NO_between 11-20,0.0
DEPOSIT,0.0
PRODUCT_d,0.0
ECONOMIC_SECTOR_construction,0.0
ECONOMIC_SECTOR_real estate activities,0.0
ECONOMIC_SECTOR_financial and insurance activities,0.0
"ECONOMIC_SECTOR_professional, scientific and technical activities",0.0
EDUCATION_middle school,0.0
AREA_missing,0.0
ECONOMIC_SECTOR_mining and quarrying,0.0
RESIDENTIAL_PLACE_other,0.0
ECONOMIC_SECTOR_information and communication,0.0
RESIDENTIAL_PLACE_rental,0.0
EDUCATION_primary school,0.0
